Timestamp,Device,Sensor,Sensor_Value
2019-04-04 22:17:00,watering_array_v4,6,625
2019-04-04 22:28:00,watering_array_v4,6,483
2019-04-04 23:00:00,watering_array_v4,6,480
2019-04-05 00:00:00,watering_array_v4,6,477
2019-04-05 01:00:00,watering_array_v4,6,476
2019-04-05 02:00:00,watering_array_v4,6,475
2019-04-05 03:00:00,watering_array_v4,6,475
2019-04-05 04:00:00,watering_array_v4,6,475
2019-04-05 05:00:00,watering_array_v4,6,474
2019-04-05 06:00:00,watering_array_v4,6,473
2019-04-05 07:00:00,watering_array_v4,6,474
2019-04-05 08:00:00,watering_array_v4,6,472
2019-04-05 09:00:00,watering_array_v4,6,472
2019-04-05 10:00:00,watering_array_v4,6,473
2019-04-05 11:00:00,watering_array_v4,6,472
2019-04-05 12:00:00,watering_array_v4,6,472
2019-04-05 13:00:00,watering_array_v4,6,472
2019-04-05 14:00:00,watering_array_v4,6,471
2019-04-05 15:00:00,watering_array_v4,6,471
2019-04-05 16:00:00,watering_array_v4,6,472
2019-04-05 17:00:00,watering_array_v4,6,471
