Timestamp,Device,Sensor,Sensor_Value
2019-05-26 09:27:15,0x99999,sensor_7,117
2019-05-26 09:54:31,0x99999,sensor_7,128
2019-05-26 10:05:05,0x99999,sensor_7,128
2019-05-26 10:05:52,0x99999,sensor_7,134
2019-05-26 10:06:31,0x99999,sensor_7,123
2019-05-26 10:07:00,0x99999,sensor_7,121
2019-05-26 10:08:25,0x99999,sensor_7,117
2019-05-26 10:09:09,0x99999,sensor_7,121
2019-05-26 11:00:11,0x99999,sensor_7,131
2019-05-26 12:00:10,0x99999,sensor_7,121
2019-05-26 13:00:10,0x99999,sensor_7,135
2019-05-26 14:00:10,0x99999,sensor_7,135
2019-05-26 15:00:10,0x99999,sensor_7,120
2019-05-26 16:00:10,0x99999,sensor_7,125
2019-05-26 17:00:11,0x99999,sensor_7,132
2019-05-26 18:00:12,0x99999,sensor_7,119
2019-05-26 19:00:10,0x99999,sensor_7,115
2019-05-26 20:00:10,0x99999,sensor_7,115
2019-05-26 21:00:11,0x99999,sensor_7,119
2019-05-26 22:00:10,0x99999,sensor_7,116
2019-05-26 23:00:11,0x99999,sensor_7,124
2019-05-27 00:00:10,0x99999,sensor_7,124
2019-05-27 01:00:11,0x99999,sensor_7,123
2019-05-27 02:00:11,0x99999,sensor_7,117
2019-05-27 03:00:10,0x99999,sensor_7,122
2019-05-27 04:00:10,0x99999,sensor_7,114
2019-05-27 08:00:12,0x99999,sensor_7,105
2019-05-27 09:00:11,0x99999,sensor_7,115
2019-05-27 10:00:11,0x99999,sensor_7,124
2019-05-27 16:00:11,0x99999,sensor_7,112
2019-05-27 17:00:10,0x99999,sensor_7,120
2019-05-27 19:00:10,0x99999,sensor_7,132
2019-05-27 20:00:10,0x99999,sensor_7,115
2019-05-27 21:00:11,0x99999,sensor_7,136
2019-05-28 12:00:11,0x99999,sensor_7,113
2019-05-28 13:00:11,0x99999,sensor_7,99
2019-05-28 14:00:11,0x99999,sensor_7,100
2019-05-28 15:00:11,0x99999,sensor_7,89
2019-05-28 16:00:11,0x99999,sensor_7,110
2019-05-28 18:00:11,0x99999,sensor_7,89
2019-05-28 19:00:11,0x99999,sensor_7,106
2019-05-28 20:00:11,0x99999,sensor_7,86
2019-05-28 21:00:11,0x99999,sensor_7,94
2019-05-28 22:00:12,0x99999,sensor_7,100
2019-05-28 23:00:12,0x99999,sensor_7,84
2019-05-29 00:00:11,0x99999,sensor_7,93
2019-05-29 01:00:11,0x99999,sensor_7,83
2019-05-29 02:00:11,0x99999,sensor_7,89
2019-05-29 03:00:11,0x99999,sensor_7,98
2019-05-29 04:00:11,0x99999,sensor_7,81
2019-05-29 05:00:11,0x99999,sensor_7,101
2019-05-29 06:00:11,0x99999,sensor_7,101
2019-05-29 07:00:12,0x99999,sensor_7,94
2019-05-29 08:00:11,0x99999,sensor_7,87
2019-05-29 09:00:12,0x99999,sensor_7,89
2019-05-29 10:00:12,0x99999,sensor_7,77
